,,Location,Total Accidents 2021,Total Deaths 2021,Total Accidents 2022,Total Deaths 2022,Total Accidents 2023,Total Deaths 2023
,,ARIYALUR,545,174,562,184,584,190
,,CHENGALPATTU,1614,472,3044,937,3402,936
,,CHENNAI,5035,999,3453,507,3654,504
,,COIMBATORE,2792,841,3544,1057,3657,1044
,,CUDDALORE,2927,550,3426,478,3121,585
,,DHARMAPURI,1240,317,1357,389,1420,343
,,DINDIGUL,1747,539,2002,680,2296,755
,,ERODE,1852,525,2155,661,2396,687
,,KALLAKURICHI,1070,275,1147,284,1166,327
,,KANCHEEPURAM,910,240,1011,303,1039,297
,,KANNIYAKUMARI,1225,321,1381,306,1471,350
,,KARUR,1111,413,1101,382,1132,362
,,KRISHNAGIRI,1734,589,2029,646,2142,656
,,MADURAI,2283,711,2489,810,2660,890
,,MYILADUTHURAI,NA,NA,660,153,771,146
,,NAGAPATTINAM,1024,225,592,134,529,134
,,NAMAKKAL,1734,422,2021,529,2089,584
,,PERAMBALUR,511,173,550,228,529,188
,,PUDUKKOTTAI,1369,380,1731,497,1681,447
,,RAMANATHAPURAM,1107,335,1211,374,1310,426
,,RANIPET,833,242,858,271,911,283
,,SALEM,2606,721,3360,868,3199,797
,,SIVAGANGAI,961,337,1143,395,1244,392
,,TENKASI,979,237,1103,283,1117,252
,,THANJAVUR,1849,431,2224,551,2327,609
,,THE NILGIRIS,210,33,236,44,213,75
,,THENI,960,239,1121,338,1177,327
,,THIRUVALLUR,1274,331,2595,727,2624,730
,,THIRUVARUR,621,168,727,216,893,227
,,THOOTHUKUDI,1253,394,1246,457,1440,486
,,TIRUCHIRAPALLI,1953,643,2222,714,2426,720
,,TIRUNELVELI,1280,359,1294,408,1531,415
,,TIRUPATHUR,709,226,766,217,622,217
,,TIRUPPUR,2703,798,3145,899,3294,875
,,TIRUVANNAMALAI,1435,522,1762,565,1913,697
,,VELLORE,819,246,976,294,992,328
,,VILLUPURAM,2131,520,2403,583,2591,564
,,VIRUDHUNAGAR,1276,436,1458,515,1650,502
,,Total,55682,15384,64105,17884,67213,18347
